instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
129,18,90,BruteForce,U,0.15613612486049533,{}
130,18,90,BruteForce,S,0.052409375086426735,"{1: 0, 2: 1, 3: 1, 4: 1, 5: 1, 6: 0, 7: 1, 8: 1, 9: 1, 10: 0, 11: 1, 12: 0, 13: 0, 14: 0, 15: 1, 16: 0, 17: 1, 18: 0}"
131,20,100,BruteForce,S,0.5867711249738932,"{1: 1, 2: 1, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0, 11: 1, 12: 1, 13: 0, 14: 0, 15: 0, 16: 1, 17: 1, 18: 1, 19: 0, 20: 1}"
132,20,100,BruteForce,U,0.5985020832158625,{}
133,20,100,BruteForce,S,0.0172734169755131,"{1: 1, 2: 0, 3: 0, 4: 0, 5: 1, 6: 1, 7: 0, 8: 1, 9: 1, 10: 0, 11: 0, 12: 0, 13: 1, 14: 1, 15: 0, 16: 1, 17: 0, 18: 0, 19: 0, 20: 0}"
134,20,100,BruteForce,U,0.7083572088740766,{}
135,20,100,BruteForce,S,0.48632841603830457,"{1: 1, 2: 1, 3: 0, 4: 1, 5: 1, 6: 1, 7: 0, 8: 1, 9: 1, 10: 1, 11: 1, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 1, 18: 1, 19: 0, 20: 1}"
136,20,100,BruteForce,U,0.6207028748467565,{}
137,20,100,BruteForce,U,0.7484389590099454,{}
138,20,100,BruteForce,S,0.5522306668572128,"{1: 1, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0, 11: 1, 12: 0, 13: 1, 14: 1, 15: 1, 16: 1, 17: 1, 18: 1, 19: 1, 20: 1}"
139,20,100,BruteForce,U,0.6579292078968138,{}
140,20,100,BruteForce,U,0.7163206660188735,{}
141,22,110,BruteForce,S,1.263303458923474,"{1: 1, 2: 1, 3: 1, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 1, 10: 1, 11: 1, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 1, 19: 0, 20: 0, 21: 0, 22: 1}"
142,22,110,BruteForce,S,2.116324624978006,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 1, 8: 1, 9: 0, 10: 1, 11: 1, 12: 0, 13: 0, 14: 1, 15: 0, 16: 0, 17: 0, 18: 0, 19: 1, 20: 0, 21: 1, 22: 1}"
143,22,110,BruteForce,U,3.0389255830086768,{}
144,22,110,BruteForce,U,2.7142142499797046,{}
145,22,110,BruteForce,U,2.5612380830571055,{}
146,22,110,BruteForce,U,2.7041993751190603,{}
147,22,110,BruteForce,U,3.3524647920858115,{}
148,22,110,BruteForce,U,2.9464469170197845,{}
149,22,110,BruteForce,S,0.1940602909307927,"{1: 1, 2: 1, 3: 0, 4: 0, 5: 1, 6: 1, 7: 0, 8: 0, 9: 0, 10: 1, 11: 1, 12: 0, 13: 0, 14: 1, 15: 0, 16: 1, 17: 1, 18: 1, 19: 0, 20: 0, 21: 0, 22: 0}"
150,22,110,BruteForce,S,0.1084229159168899,"{1: 0, 2: 0, 3: 1, 4: 1, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 1, 12: 1, 13: 1, 14: 1, 15: 0, 16: 1, 17: 0, 18: 1, 19: 0, 20: 0, 21: 0, 22: 0}"
151,24,120,BruteForce,U,11.51732200011611,{}
152,24,120,BruteForce,U,9.46667458419688,{}
153,24,120,BruteForce,U,10.872678624931723,{}
154,24,120,BruteForce,U,10.762319375062361,{}
155,24,120,BruteForce,U,12.59711120906286,{}
156,24,120,BruteForce,U,9.59107270790264,{}
157,24,120,BruteForce,U,10.754925084067509,{}
158,24,120,BruteForce,U,12.708008832996711,{}
159,24,120,BruteForce,U,11.485705957980826,{}
160,24,120,BruteForce,U,10.591399083146825,{}
161,4,40,BruteForce,S,6.016693077981472e-05,"{1: 1, 2: 1, 3: 1, 4: 0}"
162,4,40,BruteForce,U,1.5958910807967186e-05,{}
163,4,40,BruteForce,U,1.5124911442399025e-05,{}
164,4,40,BruteForce,S,1.8875114619731903e-05,"{1: 0, 2: 1, 3: 0, 4: 1}"
165,4,40,BruteForce,S,2.2249994799494743e-05,"{1: 1, 2: 1, 3: 0, 4: 1}"
166,4,40,BruteForce,S,1.295795664191246e-05,"{1: 0, 2: 0, 3: 0, 4: 1}"
167,4,40,BruteForce,S,1.254095695912838e-05,"{1: 0, 2: 0, 3: 1, 4: 0}"
168,4,40,BruteForce,S,7.0410314947366714e-06,"{1: 1, 2: 1, 3: 0, 4: 0}"
169,4,40,BruteForce,S,2.254103310406208e-05,"{1: 1, 2: 1, 3: 1, 4: 1}"
170,4,40,BruteForce,S,7.2498805820941925e-06,"{1: 0, 2: 1, 3: 0, 4: 0}"
171,8,80,BruteForce,S,0.00011854199692606926,"{1: 1, 2: 0, 3: 1, 4: 0, 5: 1, 6: 1, 7: 0, 8: 0}"
172,8,80,BruteForce,S,2.4082837626338005e-05,"{1: 1, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}"
173,8,80,BruteForce,S,5.087512545287609e-05,"{1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0}"
174,8,80,BruteForce,S,5.233404226601124e-05,"{1: 1, 2: 0, 3: 1, 4: 1, 5: 0, 6: 1, 7: 0, 8: 0}"
175,8,80,BruteForce,S,2.254219725728035e-05,"{1: 1, 2: 1, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}"
176,8,80,BruteForce,U,0.00037533300928771496,{}
177,8,80,BruteForce,U,0.0002716248854994774,{}
178,8,80,BruteForce,S,0.0003183751832693815,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 0, 7: 1, 8: 1}"
179,8,80,BruteForce,U,0.0003142501227557659,{}
180,8,80,BruteForce,U,0.0003493749536573887,{}
181,12,120,BruteForce,S,0.0024362499825656414,"{1: 1, 2: 1, 3: 0, 4: 1, 5: 1, 6: 1, 7: 0, 8: 0, 9: 0, 10: 1, 11: 0, 12: 1}"
182,12,120,BruteForce,S,0.004249792080372572,"{1: 0, 2: 1, 3: 1, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 1, 11: 0, 12: 1}"
183,12,120,BruteForce,S,7.962482050061226e-05,"{1: 0, 2: 0, 3: 1, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0}"
184,12,120,BruteForce,U,0.006219709059223533,{}
185,12,120,BruteForce,S,0.003171750111505389,"{1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 1, 11: 0, 12: 1}"
186,12,120,BruteForce,S,0.0011428329162299633,"{1: 1, 2: 0, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 0, 9: 0, 10: 1, 11: 0, 12: 0}"
187,12,120,BruteForce,U,0.00401966692879796,{}
188,12,120,BruteForce,U,0.006302875000983477,{}
